Region_GISAID,Country,Continent,Color
Algeria,Algeria,Africa,#FFCC99
Benin,Benin,Africa,#FFCC99
DRC,DRC,Africa,#FFCC99
Egypt,Egypt,Africa,#FFCC99
Gambia,Gambia,Africa,#FFCC99
Ghana,Ghana,Africa,#FFCC99
Kenya,Kenya,Africa,#FFCC99
Mali,Mali,Africa,#FFCC99
Morocco,Morocco,Africa,#FFCC99
Reunion,Reunion,Africa,#FFCC99
SaudiArabia,Saudi_Arabia,Africa,#FFCC99
Sierra_Leone,Sierra_Leone,Africa,#FFCC99
Zambia,Zambia,Africa,#FFCC99
Madagascar,Madagascar,Africa,#FFCC99
Nigeria,Nigeria,Africa,#FFCC99
Senegal,Senegal,Africa,#FFCC99
South_Africa,South_Africa,Africa,#FFCC99
SouthAfrica,South_Africa,Africa,#FFCC99
Tunisia,Tunisia,Africa,#FFCC99
Uganda,Uganda,Africa,#FFCC99
Bahrain,Bahrein,Asia,#FF9999
Bahrein,Bahrein,Asia,#FF9999
Beijing,China,Asia,#FF9999
Changzhou,China,Asia,#FF9999
China,China,Asia,#FF9999
Chongqing,China,Asia,#FF9999
Foshan,China,Asia,#FF9999
Fujian,China,Asia,#FF9999
Fuyang,China,Asia,#FF9999
Fuzhou,China,Asia,#FF9999
Ganzhou,China,Asia,#FF9999
Guangdong,China,Asia,#FF9999
Guangxi,China,Asia,#FF9999
Guangzhou,China,Asia,#FF9999
Harbin,China,Asia,#FF9999
Hangzhou,China,Asia,#FF9999
Henan,China,Asia,#FF9999
Hefei,China,Asia,#FF9999
Jian,China,Asia,#FF9999
Jiangsu,China,Asia,#FF9999
Jiangxi,China,Asia,#FF9999
Jingzhou,China,Asia,#FF9999
Weifang,China,Asia,#FF9999
Liaoning,China,Asia,#FF9999
Jiujiang,China,Asia,#FF9999
Lishui,China,Asia,#FF9999
Nanchang,China,Asia,#FF9999
NanChang,China,Asia,#FF9999
Pingxiang,China,Asia,#FF9999
Shandong,China,Asia,#FF9999
Shanghai,China,Asia,#FF9999
Shangrao,China,Asia,#FF9999
Shenzhen,China,Asia,#FF9999
Shaoxing,China,Asia,#FF9999
Sichuan,China,Asia,#FF9999
Tianmen,China,Asia,#FF9999
Timor-Leste,Timor-Leste,Asia,#FF9999
Wuhan,China,Asia,#FF9999
Xinyu,China,Asia,#FF9999
Yichun,China,Asia,#FF9999
Yingtan,China,Asia,#FF9999
Yunnan,China,Asia,#FF9999
Zhejiang,China,Asia,#FF9999
Japan,Japan,Asia,#FF9999
Korea,Korea,Asia,#FF9999
South_Korea,Korea,Asia,#FF9999
Mongolia,Mongolia,Asia,#FF9999
Oman,Oman,Asia,#FF9999
Taiwan,Taiwan,Asia,#FF9999
Russia,Russia,Asia,#FF9999
Israel,Israel,Asia,#FF9999
Jordan,Jordan,Asia,#FF9999
JOR,Jordan,Asia,#FF9999
Kuwait,Kuwait,Asia,#FF9999
Qatar,Qatar,Asia,#FF9999
Kazakhstan,Kazakhstan,Asia,#FF9999
Lebanon,Lebanon,Asia,#FF9999
Turkey,Turkey,Asia,#FF9999
Iran,Iran,Asia,#FF9999
Saudi_Arabia,Saudi_Arabia,Asia,#FF9999
United_Arab_Emirates,United_Arab_Emirates,Asia,#FF9999
Cambodia,Cambodia,Asia,#FF9999
Malaysia,Malaysia,Asia,#FF9999
Philippines,Philippines,Asia,#FF9999
Singapore,Singapore,Asia,#FF9999
Hong_Kong,HongKong,Asia,#FF9999
Nonthaburi,Thailand,Asia,#FF9999
Thailand,Thailand,Asia,#FF9999
Vietnam,Vietnam,Asia,#FF9999
Brunei,Brunei,Asia,#FF9999
Guam,Guam,Asia,#FF9999
Indonesia,Indonesia,Asia,#FF9999
Myanmar,Myanmar,Asia,#FF9999
India,India,Asia,#FF9999
Nepal,Nepal,Asia,#FF9999
Pakistan,Pakistan,Asia,#FF9999
Bangladesh,Bangladesh,Asia,#FF9999
Sri_Lanka,Sri_Lanka,Asia,#FF9999
Belarus,Belarus,Europe,#CCFF99
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,Europe,#CCFF99
Bulgaria,Bulgaria,Europe,#CCFF99
Cyprus,Cyprus,Europe,#CCFF99
Croatia,Croatia,Europe,#CCFF99
Georgia,Georgia,Europe,#CCFF99
Hungary,Hungary,Europe,#CCFF99
Poland,Poland,Europe,#CCFF99
Slovakia,Slovakia,Europe,#CCFF99
Slovenia,Slovenia,Europe,#CCFF99
Czech_Republic,Czech_Republic,Europe,#CCFF99
Crimea,Crimea,Europe,#CCFF99
Bucuresti,Romania,Europe,#CCFF99
Romania,Romania,Europe,#CCFF99
Serbia,Serbia,Europe,#CCFF99
Greece,Greece,Europe,#CCFF99
Italy,Italy,Europe,#CCFF99
ITALY,Italy,Europe,#CCFF99
Faroe_Islands,Faroe_Islands,Europe,#CCFF99
Moldova,Moldova,Europe,#CCFF99
Montenegro,Montenegro,Europe,#CCFF99
Ukraine,Ukraine,Europe,#CCFF99
Portugal,Portugal,Europe,#CCFF99
Spain,Spain,Europe,#CCFF99
Austria,Austria,Europe,#CCFF99
Belgium,Belgium,Europe,#CCFF99
England,England,Europe,#CCFF99
France,France,Europe,#CCFF99
Wales,Gales,Europe,#CCFF99
Germany,Germany,Europe,#CCFF99
Ireland,Ireland,Europe,#CCFF99
Northern_Ireland,Northern_Ireland,Europe,#CCFF99
Luxembourg,Luxembourg,Europe,#CCFF99
North_Macedonia,North_Macedonia,Europe,#CCFF99
Netherlands,Netherlands,Europe,#CCFF99
Scotland,Scotland,Europe,#CCFF99
Switzerland,Switzerland,Europe,#CCFF99
Denmark,Denmark,Europe,#CCFF99
Estonia,Estonia,Europe,#CCFF99
Finland,Finland,Europe,#CCFF99
Iceland,Iceland,Europe,#CCFF99
Latvia,Latvia,Europe,#CCFF99
Lithuania,Lithuania,Europe,#CCFF99
Norway,Norway,Europe,#CCFF99
Sweden,Sweden,Europe,#CCFF99
Canada,Canada,North_America,#99FFCC
JAM,Jamaica,North_America,#99FFCC
Dominican_Republic,Dominican_Republic,North_America,#99FFCC
Jamaica,Jamaica,North_America,#99FFCC
Guatemala,Guatemala,North_America,#99FFCC
Mexico,Mexico,North_America,#99FFCC
Panama,Panama,North_America,#99FFCC
USA,USA,North_America,#99FFCC
Puerto_Rico,Puerto_Rico,North_America,#99FFCC
Australia,Australia,Australia,#FFFF99
New_Zealand,NewZealand,Zealandia,#FFFF99
NewZealand,NewZealand,Zealandia,#FFFF99
Argentina,Argentina,South_America,#9999FF
Brazil,Brazil,South_America,#9999FF
Chile,Chile,South_America,#9999FF
Colombia,Colombia,South_America,#9999FF
Ecuador,Ecuador,South_America,#9999FF
Peru,Peru,South_America,#9999FF
Uruguay,Uruguay,South_America,#9999FF
Venezuela,Venezuela,South_America,#9999FF
Suriname,Suriname,South_America,#9999FF
Costa_Rica,Costa_Rica,Central_America,#99CCFF
Belize,Belize,Central_America,#99CCFF
